locus_tag,go_id,go_name,namespace,namespace_name,uniprot_accession,uniprot_gene_names,uniprot_protein_name
PA3158,GO:0004617,phosphoglycerate dehydrogenase activity,MF,Molecular Function,G3XD23,wbpB wlbA PA3158,UDP-N-acetyl-2-amino-2-deoxy-D-glucuronate oxidase (EC 1.1.1.335) (UDP-2-acetamido-2-deoxy-alpha-D-glucuronic acid 3-dehydrogenase) (UDP-N-acetyl-D-glucosaminuronic acid 3-oxidase) (UDP-D-GlcNAcA 3-oxidase)
PA4922,GO:0005507,copper ion binding,MF,Molecular Function,P00282,azu PA4922,Azurin
PA4922,GO:0009055,electron transfer activity,MF,Molecular Function,P00282,azu PA4922,Azurin
PA4922,GO:0042802,identical protein binding,MF,Molecular Function,P00282,azu PA4922,Azurin
PA4922,GO:0046914,transition metal ion binding,MF,Molecular Function,P00282,azu PA4922,Azurin
PA4922,GO:0008270,zinc ion binding,MF,Molecular Function,P00282,azu PA4922,Azurin
PA4922,GO:0042597,periplasmic space,CC,Cellular Component,P00282,azu PA4922,Azurin
PA4922,GO:0005886,plasma membrane,CC,Cellular Component,P00282,azu PA4922,Azurin
PA3724,GO:0071978,bacterial-type flagellum-dependent swarming motility,BP,Biological Process,P14756,lasB PA3724,Elastase (EC 3.4.24.26) (Neutral metalloproteinase) (PAE) (Pseudolysin) [Cleaved into: Pro-elastase]
PA3724,GO:0015628,protein secretion by the type II secretion system,BP,Biological Process,P14756,lasB PA3724,Elastase (EC 3.4.24.26) (Neutral metalloproteinase) (PAE) (Pseudolysin) [Cleaved into: Pro-elastase]
PA3724,GO:0043952,protein transport by the Sec complex,BP,Biological Process,P14756,lasB PA3724,Elastase (EC 3.4.24.26) (Neutral metalloproteinase) (PAE) (Pseudolysin) [Cleaved into: Pro-elastase]
PA3724,GO:0006508,proteolysis,BP,Biological Process,P14756,lasB PA3724,Elastase (EC 3.4.24.26) (Neutral metalloproteinase) (PAE) (Pseudolysin) [Cleaved into: Pro-elastase]
PA3724,GO:0044010,single-species biofilm formation,BP,Biological Process,P14756,lasB PA3724,Elastase (EC 3.4.24.26) (Neutral metalloproteinase) (PAE) (Pseudolysin) [Cleaved into: Pro-elastase]
PA3724,GO:0004175,endopeptidase activity,MF,Molecular Function,P14756,lasB PA3724,Elastase (EC 3.4.24.26) (Neutral metalloproteinase) (PAE) (Pseudolysin) [Cleaved into: Pro-elastase]
PA3724,GO:0046872,metal ion binding,MF,Molecular Function,P14756,lasB PA3724,Elastase (EC 3.4.24.26) (Neutral metalloproteinase) (PAE) (Pseudolysin) [Cleaved into: Pro-elastase]
PA3724,GO:0004222,metalloendopeptidase activity,MF,Molecular Function,P14756,lasB PA3724,Elastase (EC 3.4.24.26) (Neutral metalloproteinase) (PAE) (Pseudolysin) [Cleaved into: Pro-elastase]
PA3724,GO:0005576,extracellular region,CC,Cellular Component,P14756,lasB PA3724,Elastase (EC 3.4.24.26) (Neutral metalloproteinase) (PAE) (Pseudolysin) [Cleaved into: Pro-elastase]
PA1000,GO:0044550,secondary metabolite biosynthetic process,BP,Biological Process,P20581,pqsE PA1000,2-aminobenzoylacetyl-CoA thioesterase (EC 3.1.2.32)
PA1000,GO:0008800,beta-lactamase activity,MF,Molecular Function,P20581,pqsE PA1000,2-aminobenzoylacetyl-CoA thioesterase (EC 3.1.2.32)
PA1000,GO:0046872,metal ion binding,MF,Molecular Function,P20581,pqsE PA1000,2-aminobenzoylacetyl-CoA thioesterase (EC 3.1.2.32)
PA0247,GO:0043640,benzoate catabolic process via hydroxylation,BP,Biological Process,P20586,pobA PA0247,p-hydroxybenzoate hydroxylase (PHBH) (EC 1.14.13.2) (4-hydroxybenzoate 3-monooxygenase)
PA0247,GO:0106356,4-hydroxybenzoate 3-monooxygenase (NADPH) activity,MF,Molecular Function,P20586,pobA PA0247,p-hydroxybenzoate hydroxylase (PHBH) (EC 1.14.13.2) (4-hydroxybenzoate 3-monooxygenase)
PA0247,GO:0018659,4-hydroxybenzoate 3-monooxygenase activity,MF,Molecular Function,P20586,pobA PA0247,p-hydroxybenzoate hydroxylase (PHBH) (EC 1.14.13.2) (4-hydroxybenzoate 3-monooxygenase)
PA0247,GO:0071949,FAD binding,MF,Molecular Function,P20586,pobA PA0247,p-hydroxybenzoate hydroxylase (PHBH) (EC 1.14.13.2) (4-hydroxybenzoate 3-monooxygenase)
PA0247,GO:0050660,flavin adenine dinucleotide binding,MF,Molecular Function,P20586,pobA PA0247,p-hydroxybenzoate hydroxylase (PHBH) (EC 1.14.13.2) (4-hydroxybenzoate 3-monooxygenase)
PA0247,GO:0016491,oxidoreductase activity,MF,Molecular Function,P20586,pobA PA0247,p-hydroxybenzoate hydroxylase (PHBH) (EC 1.14.13.2) (4-hydroxybenzoate 3-monooxygenase)
PA1430,GO:0006351,DNA-templated transcription,BP,Biological Process,P25084,lasR PA1430,Transcriptional activator protein LasR
PA1430,GO:0045893,positive regulation of DNA-templated transcription,BP,Biological Process,P25084,lasR PA1430,Transcriptional activator protein LasR
PA1430,GO:0009372,quorum sensing,BP,Biological Process,P25084,lasR PA1430,Transcriptional activator protein LasR
PA1430,GO:0006355,regulation of DNA-templated transcription,BP,Biological Process,P25084,lasR PA1430,Transcriptional activator protein LasR
PA1430,GO:0060310,regulation of elastin catabolic process,BP,Biological Process,P25084,lasR PA1430,Transcriptional activator protein LasR
PA1430,GO:0010468,regulation of gene expression,BP,Biological Process,P25084,lasR PA1430,Transcriptional activator protein LasR
PA1430,GO:0001216,DNA-binding transcription activator activity,MF,Molecular Function,P25084,lasR PA1430,Transcriptional activator protein LasR
PA1430,GO:0003700,DNA-binding transcription factor activity,MF,Molecular Function,P25084,lasR PA1430,Transcriptional activator protein LasR
PA1430,GO:0043565,sequence-specific DNA binding,MF,Molecular Function,P25084,lasR PA1430,Transcriptional activator protein LasR
PA1430,GO:0000976,transcription cis-regulatory region binding,MF,Molecular Function,P25084,lasR PA1430,Transcriptional activator protein LasR
PA1430,GO:0032993,protein-DNA complex,CC,Cellular Component,P25084,lasR PA1430,Transcriptional activator protein LasR
PA5261,GO:0042121,alginic acid biosynthetic process,BP,Biological Process,P26275,algR PA5261,Positive alginate biosynthesis regulatory protein
PA5261,GO:0071978,bacterial-type flagellum-dependent swarming motility,BP,Biological Process,P26275,algR PA5261,Positive alginate biosynthesis regulatory protein
PA5261,GO:0006351,DNA-templated transcription,BP,Biological Process,P26275,algR PA5261,Positive alginate biosynthesis regulatory protein
PA5261,GO:0045892,negative regulation of DNA-templated transcription,BP,Biological Process,P26275,algR PA5261,Positive alginate biosynthesis regulatory protein
PA5261,GO:2000147,positive regulation of cell motility,BP,Biological Process,P26275,algR PA5261,Positive alginate biosynthesis regulatory protein
PA5261,GO:0045893,positive regulation of DNA-templated transcription,BP,Biological Process,P26275,algR PA5261,Positive alginate biosynthesis regulatory protein
PA5261,GO:1900192,positive regulation of single-species biofilm formation,BP,Biological Process,P26275,algR PA5261,Positive alginate biosynthesis regulatory protein
PA5261,GO:0006355,regulation of DNA-templated transcription,BP,Biological Process,P26275,algR PA5261,Positive alginate biosynthesis regulatory protein
PA5261,GO:1901031,regulation of response to reactive oxygen species,BP,Biological Process,P26275,algR PA5261,Positive alginate biosynthesis regulatory protein
PA5261,GO:0043107,type IV pilus-dependent motility,BP,Biological Process,P26275,algR PA5261,Positive alginate biosynthesis regulatory protein
PA5261,GO:0001216,DNA-binding transcription activator activity,MF,Molecular Function,P26275,algR PA5261,Positive alginate biosynthesis regulatory protein
PA5261,GO:0001217,DNA-binding transcription repressor activity,MF,Molecular Function,P26275,algR PA5261,Positive alginate biosynthesis regulatory protein
PA5261,GO:0000156,phosphorelay response regulator activity,MF,Molecular Function,P26275,algR PA5261,Positive alginate biosynthesis regulatory protein
PA5261,GO:0043565,sequence-specific DNA binding,MF,Molecular Function,P26275,algR PA5261,Positive alginate biosynthesis regulatory protein
PA5261,GO:0000976,transcription cis-regulatory region binding,MF,Molecular Function,P26275,algR PA5261,Positive alginate biosynthesis regulatory protein
PA5261,GO:0005829,cytosol,CC,Cellular Component,P26275,algR PA5261,Positive alginate biosynthesis regulatory protein
PA5261,GO:0032993,protein-DNA complex,CC,Cellular Component,P26275,algR PA5261,Positive alginate biosynthesis regulatory protein
PA2862,GO:0016042,lipid catabolic process,BP,Biological Process,P26876,lip lipA PA2862,Triacylglycerol lipase (EC 3.1.1.3) (Extracellular lipase) (Triacylglycerol ester hydrolase)
PA2862,GO:0015628,protein secretion by the type II secretion system,BP,Biological Process,P26876,lip lipA PA2862,Triacylglycerol lipase (EC 3.1.1.3) (Extracellular lipase) (Triacylglycerol ester hydrolase)
PA2862,GO:0043952,protein transport by the Sec complex,BP,Biological Process,P26876,lip lipA PA2862,Triacylglycerol lipase (EC 3.1.1.3) (Extracellular lipase) (Triacylglycerol ester hydrolase)
PA2862,GO:0016298,lipase activity,MF,Molecular Function,P26876,lip lipA PA2862,Triacylglycerol lipase (EC 3.1.1.3) (Extracellular lipase) (Triacylglycerol ester hydrolase)
PA2862,GO:0046872,metal ion binding,MF,Molecular Function,P26876,lip lipA PA2862,Triacylglycerol lipase (EC 3.1.1.3) (Extracellular lipase) (Triacylglycerol ester hydrolase)
PA2862,GO:0004806,triacylglycerol lipase activity,MF,Molecular Function,P26876,lip lipA PA2862,Triacylglycerol lipase (EC 3.1.1.3) (Extracellular lipase) (Triacylglycerol ester hydrolase)
PA2862,GO:0005576,extracellular region,CC,Cellular Component,P26876,lip lipA PA2862,Triacylglycerol lipase (EC 3.1.1.3) (Extracellular lipase) (Triacylglycerol ester hydrolase)
PA3570,GO:0006574,L-valine catabolic process,BP,Biological Process,P28810,mmsA PA3570,Methylmalonate-semialdehyde dehydrogenase [acylating] (MMSDH) (EC 1.2.1.27)
PA3570,GO:0006210,thymine catabolic process,BP,Biological Process,P28810,mmsA PA3570,Methylmalonate-semialdehyde dehydrogenase [acylating] (MMSDH) (EC 1.2.1.27)
PA3570,GO:0004491,"methylmalonate-semialdehyde dehydrogenase (acylating, NAD) activity",MF,Molecular Function,P28810,mmsA PA3570,Methylmalonate-semialdehyde dehydrogenase [acylating] (MMSDH) (EC 1.2.1.27)
PA0688,GO:0006817,phosphate ion transport,BP,Biological Process,P35482,lapA phoA phoA2 pstS PA0688,Alkaline phosphatase L (L-AP) (EC 3.1.3.1) (Low-molecular-weight alkaline phosphatase A) (Protein DING)
PA0688,GO:0015628,protein secretion by the type II secretion system,BP,Biological Process,P35482,lapA phoA phoA2 pstS PA0688,Alkaline phosphatase L (L-AP) (EC 3.1.3.1) (Low-molecular-weight alkaline phosphatase A) (Protein DING)
PA0688,GO:0043952,protein transport by the Sec complex,BP,Biological Process,P35482,lapA phoA phoA2 pstS PA0688,Alkaline phosphatase L (L-AP) (EC 3.1.3.1) (Low-molecular-weight alkaline phosphatase A) (Protein DING)
PA0688,GO:0004035,alkaline phosphatase activity,MF,Molecular Function,P35482,lapA phoA phoA2 pstS PA0688,Alkaline phosphatase L (L-AP) (EC 3.1.3.1) (Low-molecular-weight alkaline phosphatase A) (Protein DING)
PA0688,GO:0005576,extracellular region,CC,Cellular Component,P35482,lapA phoA phoA2 pstS PA0688,Alkaline phosphatase L (L-AP) (EC 3.1.3.1) (Low-molecular-weight alkaline phosphatase A) (Protein DING)
PA0688,GO:0042597,periplasmic space,CC,Cellular Component,P35482,lapA phoA phoA2 pstS PA0688,Alkaline phosphatase L (L-AP) (EC 3.1.3.1) (Low-molecular-weight alkaline phosphatase A) (Protein DING)
PA0183,GO:0004065,arylsulfatase activity,MF,Molecular Function,P51691,atsA PA0183,Arylsulfatase (AS) (EC 3.1.6.1) (Aryl-sulfate sulphohydrolase)
PA0183,GO:0046872,metal ion binding,MF,Molecular Function,P51691,atsA PA0183,Arylsulfatase (AS) (EC 3.1.6.1) (Aryl-sulfate sulphohydrolase)
PA0183,GO:0008081,phosphoric diester hydrolase activity,MF,Molecular Function,P51691,atsA PA0183,Arylsulfatase (AS) (EC 3.1.6.1) (Aryl-sulfate sulphohydrolase)
PA0183,GO:0005737,cytoplasm,CC,Cellular Component,P51691,atsA PA0183,Arylsulfatase (AS) (EC 3.1.6.1) (Aryl-sulfate sulphohydrolase)
PA3100,GO:0071978,bacterial-type flagellum-dependent swarming motility,BP,Biological Process,Q00515,xcpU pddB PA3100,Type II secretion system protein H (T2SS minor pseudopilin H) (General secretion pathway protein H) (PilD-dependent protein PddB)
PA3100,GO:0015628,protein secretion by the type II secretion system,BP,Biological Process,Q00515,xcpU pddB PA3100,Type II secretion system protein H (T2SS minor pseudopilin H) (General secretion pathway protein H) (PilD-dependent protein PddB)
PA3100,GO:0044010,single-species biofilm formation,BP,Biological Process,Q00515,xcpU pddB PA3100,Type II secretion system protein H (T2SS minor pseudopilin H) (General secretion pathway protein H) (PilD-dependent protein PddB)
PA3100,GO:0005886,plasma membrane,CC,Cellular Component,Q00515,xcpU pddB PA3100,Type II secretion system protein H (T2SS minor pseudopilin H) (General secretion pathway protein H) (PilD-dependent protein PddB)
PA3100,GO:0015627,type II protein secretion system complex,CC,Cellular Component,Q00515,xcpU pddB PA3100,Type II secretion system protein H (T2SS minor pseudopilin H) (General secretion pathway protein H) (PilD-dependent protein PddB)
PA5453,GO:0042351,'de novo' GDP-L-fucose biosynthetic process,BP,Biological Process,Q51366,gmd gca PA5453,"GDP-mannose 4,6-dehydratase (EC 4.2.1.47) (GDP-D-mannose dehydratase)"
PA5453,GO:0019306,GDP-D-rhamnose biosynthetic process,BP,Biological Process,Q51366,gmd gca PA5453,"GDP-mannose 4,6-dehydratase (EC 4.2.1.47) (GDP-D-mannose dehydratase)"
PA5453,GO:0009103,lipopolysaccharide biosynthetic process,BP,Biological Process,Q51366,gmd gca PA5453,"GDP-mannose 4,6-dehydratase (EC 4.2.1.47) (GDP-D-mannose dehydratase)"
PA5453,GO:0009243,O antigen biosynthetic process,BP,Biological Process,Q51366,gmd gca PA5453,"GDP-mannose 4,6-dehydratase (EC 4.2.1.47) (GDP-D-mannose dehydratase)"
PA5453,GO:0008446,"GDP-mannose 4,6-dehydratase activity",MF,Molecular Function,Q51366,gmd gca PA5453,"GDP-mannose 4,6-dehydratase (EC 4.2.1.47) (GDP-D-mannose dehydratase)"
PA5453,GO:0070401,NADP+ binding,MF,Molecular Function,Q51366,gmd gca PA5453,"GDP-mannose 4,6-dehydratase (EC 4.2.1.47) (GDP-D-mannose dehydratase)"
PA0965,GO:0006310,DNA recombination,BP,Biological Process,Q51424,ruvC PA0965,Crossover junction endodeoxyribonuclease RuvC (EC 3.1.21.10) (Holliday junction nuclease RuvC) (Holliday junction resolvase RuvC)
PA0965,GO:0006281,DNA repair,BP,Biological Process,Q51424,ruvC PA0965,Crossover junction endodeoxyribonuclease RuvC (EC 3.1.21.10) (Holliday junction nuclease RuvC) (Holliday junction resolvase RuvC)
PA0965,GO:0008821,crossover junction DNA endonuclease activity,MF,Molecular Function,Q51424,ruvC PA0965,Crossover junction endodeoxyribonuclease RuvC (EC 3.1.21.10) (Holliday junction nuclease RuvC) (Holliday junction resolvase RuvC)
PA0965,GO:0003677,DNA binding,MF,Molecular Function,Q51424,ruvC PA0965,Crossover junction endodeoxyribonuclease RuvC (EC 3.1.21.10) (Holliday junction nuclease RuvC) (Holliday junction resolvase RuvC)
PA0965,GO:0000287,magnesium ion binding,MF,Molecular Function,Q51424,ruvC PA0965,Crossover junction endodeoxyribonuclease RuvC (EC 3.1.21.10) (Holliday junction nuclease RuvC) (Holliday junction resolvase RuvC)
PA0965,GO:0005737,cytoplasm,CC,Cellular Component,Q51424,ruvC PA0965,Crossover junction endodeoxyribonuclease RuvC (EC 3.1.21.10) (Holliday junction nuclease RuvC) (Holliday junction resolvase RuvC)
PA0965,GO:0048476,Holliday junction resolvase complex,CC,Cellular Component,Q51424,ruvC PA0965,Crossover junction endodeoxyribonuclease RuvC (EC 3.1.21.10) (Holliday junction nuclease RuvC) (Holliday junction resolvase RuvC)
PA4230,GO:0046417,chorismate metabolic process,BP,Biological Process,Q51507,pchB PA4230,Isochorismate pyruvate lyase (IPL) (EC 4.2.99.21) (Chorismate mutase) (CM) (EC 5.4.99.5) (Salicylate biosynthesis protein)
PA4230,GO:0042864,pyochelin biosynthetic process,BP,Biological Process,Q51507,pchB PA4230,Isochorismate pyruvate lyase (IPL) (EC 4.2.99.21) (Chorismate mutase) (CM) (EC 5.4.99.5) (Salicylate biosynthesis protein)
PA4230,GO:0009697,salicylic acid biosynthetic process,BP,Biological Process,Q51507,pchB PA4230,Isochorismate pyruvate lyase (IPL) (EC 4.2.99.21) (Chorismate mutase) (CM) (EC 5.4.99.5) (Salicylate biosynthesis protein)
PA4230,GO:0016835,carbon-oxygen lyase activity,MF,Molecular Function,Q51507,pchB PA4230,Isochorismate pyruvate lyase (IPL) (EC 4.2.99.21) (Chorismate mutase) (CM) (EC 5.4.99.5) (Salicylate biosynthesis protein)
PA4230,GO:0004106,chorismate mutase activity,MF,Molecular Function,Q51507,pchB PA4230,Isochorismate pyruvate lyase (IPL) (EC 4.2.99.21) (Chorismate mutase) (CM) (EC 5.4.99.5) (Salicylate biosynthesis protein)
PA4230,GO:0043904,isochorismate pyruvate lyase activity,MF,Molecular Function,Q51507,pchB PA4230,Isochorismate pyruvate lyase (IPL) (EC 4.2.99.21) (Chorismate mutase) (CM) (EC 5.4.99.5) (Salicylate biosynthesis protein)
PA5349,GO:0043448,alkane catabolic process,BP,Biological Process,Q9HTK9,alkT PA5349,Rubredoxin-NAD(+) reductase (RdxR) (EC 1.18.1.1)
PA5349,GO:0050660,flavin adenine dinucleotide binding,MF,Molecular Function,Q9HTK9,alkT PA5349,Rubredoxin-NAD(+) reductase (RdxR) (EC 1.18.1.1)
PA5349,GO:0016491,oxidoreductase activity,MF,Molecular Function,Q9HTK9,alkT PA5349,Rubredoxin-NAD(+) reductase (RdxR) (EC 1.18.1.1)
PA5349,GO:0015044,rubredoxin-NAD+ reductase activity,MF,Molecular Function,Q9HTK9,alkT PA5349,Rubredoxin-NAD(+) reductase (RdxR) (EC 1.18.1.1)
PA5349,GO:0015046,rubredoxin-NADP+ reductase activity,MF,Molecular Function,Q9HTK9,alkT PA5349,Rubredoxin-NAD(+) reductase (RdxR) (EC 1.18.1.1)
PA5349,GO:0005737,cytoplasm,CC,Cellular Component,Q9HTK9,alkT PA5349,Rubredoxin-NAD(+) reductase (RdxR) (EC 1.18.1.1)
PA5323,GO:0006526,L-arginine biosynthetic process,BP,Biological Process,Q9HTN2,argB PA5323,Acetylglutamate kinase (EC 2.7.2.8) (N-acetyl-L-glutamate 5-phosphotransferase) (NAG kinase) (NAGK)
PA5323,GO:0042450,L-arginine biosynthetic process via ornithine,BP,Biological Process,Q9HTN2,argB PA5323,Acetylglutamate kinase (EC 2.7.2.8) (N-acetyl-L-glutamate 5-phosphotransferase) (NAG kinase) (NAGK)
PA5323,GO:0003991,acetylglutamate kinase activity,MF,Molecular Function,Q9HTN2,argB PA5323,Acetylglutamate kinase (EC 2.7.2.8) (N-acetyl-L-glutamate 5-phosphotransferase) (NAG kinase) (NAGK)
PA5323,GO:0005524,ATP binding,MF,Molecular Function,Q9HTN2,argB PA5323,Acetylglutamate kinase (EC 2.7.2.8) (N-acetyl-L-glutamate 5-phosphotransferase) (NAG kinase) (NAGK)
PA5323,GO:0005737,cytoplasm,CC,Cellular Component,Q9HTN2,argB PA5323,Acetylglutamate kinase (EC 2.7.2.8) (N-acetyl-L-glutamate 5-phosphotransferase) (NAG kinase) (NAGK)
PA5174,GO:0006633,fatty acid biosynthetic process,BP,Biological Process,Q9HU15,fabY PA5174,Beta-ketoacyl-[acyl-carrier-protein] synthase FabY (Beta-ketoacyl-ACP synthase) (KAS) (EC 2.3.1.180) (Beta-ketoacyl synthase KAS I/II domain-containing enzyme)
PA5174,GO:0009245,lipid A biosynthetic process,BP,Biological Process,Q9HU15,fabY PA5174,Beta-ketoacyl-[acyl-carrier-protein] synthase FabY (Beta-ketoacyl-ACP synthase) (KAS) (EC 2.3.1.180) (Beta-ketoacyl synthase KAS I/II domain-containing enzyme)
PA5174,GO:0009372,quorum sensing,BP,Biological Process,Q9HU15,fabY PA5174,Beta-ketoacyl-[acyl-carrier-protein] synthase FabY (Beta-ketoacyl-ACP synthase) (KAS) (EC 2.3.1.180) (Beta-ketoacyl synthase KAS I/II domain-containing enzyme)
PA5174,GO:0019290,siderophore biosynthetic process,BP,Biological Process,Q9HU15,fabY PA5174,Beta-ketoacyl-[acyl-carrier-protein] synthase FabY (Beta-ketoacyl-ACP synthase) (KAS) (EC 2.3.1.180) (Beta-ketoacyl synthase KAS I/II domain-containing enzyme)
PA5174,GO:0004315,3-oxoacyl-[acyl-carrier-protein] synthase activity,MF,Molecular Function,Q9HU15,fabY PA5174,Beta-ketoacyl-[acyl-carrier-protein] synthase FabY (Beta-ketoacyl-ACP synthase) (KAS) (EC 2.3.1.180) (Beta-ketoacyl synthase KAS I/II domain-containing enzyme)
PA5174,GO:0033818,beta-ketoacyl-acyl-carrier-protein synthase III activity,MF,Molecular Function,Q9HU15,fabY PA5174,Beta-ketoacyl-[acyl-carrier-protein] synthase FabY (Beta-ketoacyl-ACP synthase) (KAS) (EC 2.3.1.180) (Beta-ketoacyl synthase KAS I/II domain-containing enzyme)
PA5174,GO:0005829,cytosol,CC,Cellular Component,Q9HU15,fabY PA5174,Beta-ketoacyl-[acyl-carrier-protein] synthase FabY (Beta-ketoacyl-ACP synthase) (KAS) (EC 2.3.1.180) (Beta-ketoacyl synthase KAS I/II domain-containing enzyme)
PA5174,GO:0016020,membrane,CC,Cellular Component,Q9HU15,fabY PA5174,Beta-ketoacyl-[acyl-carrier-protein] synthase FabY (Beta-ketoacyl-ACP synthase) (KAS) (EC 2.3.1.180) (Beta-ketoacyl synthase KAS I/II domain-containing enzyme)
PA5009,GO:0009244,lipopolysaccharide core region biosynthetic process,BP,Biological Process,Q9HUF7,waaP rfaP PA5009,Lipopolysaccharide core heptose(I) kinase WaaP (EC 2.7.1.235) (Eukaryotic-type protein tyrosine kinase WaaP) (EC 2.7.10.2) (Lipopolysaccharide heptose kinase WaaP) (LPS heptose kinase WaaP)
PA5009,GO:0005524,ATP binding,MF,Molecular Function,Q9HUF7,waaP rfaP PA5009,Lipopolysaccharide core heptose(I) kinase WaaP (EC 2.7.1.235) (Eukaryotic-type protein tyrosine kinase WaaP) (EC 2.7.10.2) (Lipopolysaccharide heptose kinase WaaP) (LPS heptose kinase WaaP)
PA5009,GO:0016301,kinase activity,MF,Molecular Function,Q9HUF7,waaP rfaP PA5009,Lipopolysaccharide core heptose(I) kinase WaaP (EC 2.7.1.235) (Eukaryotic-type protein tyrosine kinase WaaP) (EC 2.7.10.2) (Lipopolysaccharide heptose kinase WaaP) (LPS heptose kinase WaaP)
PA5009,GO:0004715,non-membrane spanning protein tyrosine kinase activity,MF,Molecular Function,Q9HUF7,waaP rfaP PA5009,Lipopolysaccharide core heptose(I) kinase WaaP (EC 2.7.1.235) (Eukaryotic-type protein tyrosine kinase WaaP) (EC 2.7.10.2) (Lipopolysaccharide heptose kinase WaaP) (LPS heptose kinase WaaP)
PA5009,GO:0005737,cytoplasm,CC,Cellular Component,Q9HUF7,waaP rfaP PA5009,Lipopolysaccharide core heptose(I) kinase WaaP (EC 2.7.1.235) (Eukaryotic-type protein tyrosine kinase WaaP) (EC 2.7.10.2) (Lipopolysaccharide heptose kinase WaaP) (LPS heptose kinase WaaP)
PA4956,GO:0009636,response to toxic substance,BP,Biological Process,Q9HUK9,rhdA PA4956,Thiosulfate sulfurtransferase (TST) (EC 2.8.1.1) (Rhodanese RhdA) (Thiosulfate:cyanide sulfurtransferase)
